"","UF","cod_uf","faixa_etaria","cod_faixa","perc_necessidade","erro_padrao","IC_inf","IC_sup","tipo_procedimento"
"1","Acre",12,"de 0 a 14 anos",1,60.0049,4.9677,50.2684,69.7414,"APS"
"2","Acre",12,"de 15 a 29 anos",2,73.8244,5.6339,62.7822,84.8667,"APS"
"3","Acre",12,"de 30 a 59 anos",3,71.6449,5.1444,61.562,81.7278,"APS"
"4","Acre",12,"60 anos e mais",4,32.6133,5.8149,21.2163,44.0104,"APS"
"5","Alagoas",27,"de 0 a 14 anos",1,47.255,10.5078,26.66,67.85,"APS"
"6","Alagoas",27,"de 15 a 29 anos",2,59.86,9.0386,42.1447,77.5753,"APS"
"7","Alagoas",27,"de 30 a 59 anos",3,78.1527,4.7647,68.814,87.4914,"APS"
"8","Alagoas",27,"60 anos e mais",4,47.0319,4.1539,38.8904,55.1733,"APS"
"9","Amapá",16,"de 0 a 14 anos",1,63.5441,4.3141,55.0886,71.9996,"APS"
"10","Amapá",16,"de 15 a 29 anos",2,67.3064,4.0654,59.3383,75.2746,"APS"
"11","Amapá",16,"de 30 a 59 anos",3,74.1964,5.0763,64.247,84.1459,"APS"
"12","Amapá",16,"60 anos e mais",4,44.7364,4.949,35.0365,54.4363,"APS"
"13","Amazonas",13,"de 0 a 14 anos",1,61.5046,4.543,52.6005,70.4087,"APS"
"14","Amazonas",13,"de 15 a 29 anos",2,77.5719,3.9488,69.8323,85.3115,"APS"
"15","Amazonas",13,"de 30 a 59 anos",3,82.968,3.1089,76.8747,89.0613,"APS"
"16","Amazonas",13,"60 anos e mais",4,56.8192,2.9025,51.1304,62.508,"APS"
"17","Bahia",29,"de 0 a 14 anos",1,46.5681,3.2791,40.1412,52.9951,"APS"
"18","Bahia",29,"de 15 a 29 anos",2,54.0827,3.6131,47.0012,61.1642,"APS"
"19","Bahia",29,"de 30 a 59 anos",3,67.4473,4.9019,57.8399,77.0548,"APS"
"20","Bahia",29,"60 anos e mais",4,57.2782,5.3438,46.8046,67.7518,"APS"
"21","Ceará",23,"de 0 a 14 anos",1,46.0955,5.4513,35.4111,56.7799,"APS"
"22","Ceará",23,"de 15 a 29 anos",2,68.6506,7.1495,54.6379,82.6633,"APS"
"23","Ceará",23,"de 30 a 59 anos",3,82.7036,4.8058,73.2845,92.1227,"APS"
"24","Ceará",23,"60 anos e mais",4,49.1827,4.0367,41.2709,57.0945,"APS"
"25","Distrito Federal",53,"de 0 a 14 anos",1,31.2088,3.2273,24.8835,37.5342,"APS"
"26","Distrito Federal",53,"de 15 a 29 anos",2,40.3817,5.5234,29.5561,51.2073,"APS"
"27","Distrito Federal",53,"de 30 a 59 anos",3,70.7927,3.5521,63.8307,77.7546,"APS"
"28","Distrito Federal",53,"60 anos e mais",4,43.0963,4.0994,35.0616,51.131,"APS"
"29","Espírito Santo",32,"de 0 a 14 anos",1,41.3678,5.9876,29.6324,53.1032,"APS"
"30","Espírito Santo",32,"de 15 a 29 anos",2,57.9466,8.381,41.5202,74.373,"APS"
"31","Espírito Santo",32,"de 30 a 59 anos",3,74.2426,5.1886,64.0731,84.4121,"APS"
"32","Espírito Santo",32,"60 anos e mais",4,49.4975,5.4923,38.7329,60.2622,"APS"
"33","Goiás",52,"de 0 a 14 anos",1,61.1575,5.0453,51.2688,71.0462,"APS"
"34","Goiás",52,"de 15 a 29 anos",2,66.7807,5.8025,55.4079,78.1534,"APS"
"35","Goiás",52,"de 30 a 59 anos",3,69.0749,4.0643,61.1089,77.0408,"APS"
"36","Goiás",52,"60 anos e mais",4,36.8606,5.1542,26.7586,46.9627,"APS"
"37","Maranhão",21,"de 0 a 14 anos",1,47.6264,8.0577,31.8336,63.4193,"APS"
"38","Maranhão",21,"de 15 a 29 anos",2,53.0079,8.1666,37.0017,69.0142,"APS"
"39","Maranhão",21,"de 30 a 59 anos",3,68.3059,7.7122,53.1903,83.4215,"APS"
"40","Maranhão",21,"60 anos e mais",4,53.3893,6.8867,39.8916,66.8871,"APS"
"41","Mato Grosso",51,"de 0 a 14 anos",1,57.8804,4.4312,49.1954,66.5654,"APS"
"42","Mato Grosso",51,"de 15 a 29 anos",2,68.7393,4.8474,59.2385,78.2401,"APS"
"43","Mato Grosso",51,"de 30 a 59 anos",3,80.2246,4.8072,70.8026,89.6466,"APS"
"44","Mato Grosso",51,"60 anos e mais",4,49.6107,5.4323,38.9636,60.2578,"APS"
"45","Mato Grosso do Sul",50,"de 0 a 14 anos",1,44.3924,3.6478,37.2429,51.542,"APS"
"46","Mato Grosso do Sul",50,"de 15 a 29 anos",2,65.496,3.1553,59.3117,71.6803,"APS"
"47","Mato Grosso do Sul",50,"de 30 a 59 anos",3,74.9376,4.7481,65.6315,84.2436,"APS"
"48","Mato Grosso do Sul",50,"60 anos e mais",4,47.2899,6.5352,34.4812,60.0986,"APS"
"49","Minas Gerais",31,"de 0 a 14 anos",1,35.1524,4.081,27.1537,43.151,"APS"
"50","Minas Gerais",31,"de 15 a 29 anos",2,60.35,4.688,51.1618,69.5383,"APS"
"51","Minas Gerais",31,"de 30 a 59 anos",3,57.2883,6.9429,43.6804,70.8962,"APS"
"52","Minas Gerais",31,"60 anos e mais",4,39.7037,5.3482,29.2214,50.1861,"APS"
"53","Paraná",41,"de 0 a 14 anos",1,40.1531,4.7662,30.8114,49.4947,"APS"
"54","Paraná",41,"de 15 a 29 anos",2,52.1945,7.8852,36.7398,67.6492,"APS"
"55","Paraná",41,"de 30 a 59 anos",3,71.5802,5.5673,60.6685,82.4919,"APS"
"56","Paraná",41,"60 anos e mais",4,33.4996,4.3686,24.9374,42.0619,"APS"
"57","Paraíba",25,"de 0 a 14 anos",1,53.5209,4.2393,45.212,61.8298,"APS"
"58","Paraíba",25,"de 15 a 29 anos",2,69.2694,6.5859,56.3613,82.1775,"APS"
"59","Paraíba",25,"de 30 a 59 anos",3,79.2926,4.8646,69.7582,88.8271,"APS"
"60","Paraíba",25,"60 anos e mais",4,44.1686,5.3868,33.6107,54.7266,"APS"
"61","Pará",15,"de 0 a 14 anos",1,58.9782,4.1985,50.7492,67.2071,"APS"
"62","Pará",15,"de 15 a 29 anos",2,68.1758,7.3224,53.8241,82.5275,"APS"
"63","Pará",15,"de 30 a 59 anos",3,81.3515,5.4515,70.6667,92.0362,"APS"
"64","Pará",15,"60 anos e mais",4,43.9059,4.4849,35.1157,52.6962,"APS"
"65","Pernambuco",26,"de 0 a 14 anos",1,57.2182,7.8704,41.7925,72.6439,"APS"
"66","Pernambuco",26,"de 15 a 29 anos",2,61.6385,9.391,43.2325,80.0445,"APS"
"67","Pernambuco",26,"de 30 a 59 anos",3,72.4078,5.1304,62.3523,82.4632,"APS"
"68","Pernambuco",26,"60 anos e mais",4,52.0694,4.2076,43.8227,60.3161,"APS"
"69","Piauí",22,"de 0 a 14 anos",1,59.0149,2.9057,53.3199,64.7099,"APS"
"70","Piauí",22,"de 15 a 29 anos",2,65.9351,5.034,56.0686,75.8016,"APS"
"71","Piauí",22,"de 30 a 59 anos",3,70.2757,4.7365,60.9923,79.5591,"APS"
"72","Piauí",22,"60 anos e mais",4,40.0445,8.2785,23.819,56.27,"APS"
"73","Rio Grande do Norte",24,"de 0 a 14 anos",1,64.1943,7.7285,49.0467,79.3419,"APS"
"74","Rio Grande do Norte",24,"de 15 a 29 anos",2,82.3736,5.4938,71.6059,93.1414,"APS"
"75","Rio Grande do Norte",24,"de 30 a 59 anos",3,91.3604,2.1476,87.1511,95.5697,"APS"
"76","Rio Grande do Norte",24,"60 anos e mais",4,40.5492,6.3419,28.1194,52.979,"APS"
"77","Rio Grande do Sul",43,"de 0 a 14 anos",1,54.2754,4.9472,44.5789,63.9718,"APS"
"78","Rio Grande do Sul",43,"de 15 a 29 anos",2,73.592,7.1118,59.6532,87.5309,"APS"
"79","Rio Grande do Sul",43,"de 30 a 59 anos",3,68.8813,5.6362,57.8345,79.928,"APS"
"80","Rio Grande do Sul",43,"60 anos e mais",4,56.3791,4.0958,48.3515,64.4067,"APS"
"81","Rio de Janeiro",33,"de 0 a 14 anos",1,33.8348,3.4144,27.1427,40.5268,"APS"
"82","Rio de Janeiro",33,"de 15 a 29 anos",2,56.5322,4.8044,47.1158,65.9487,"APS"
"83","Rio de Janeiro",33,"de 30 a 59 anos",3,75.3126,5.0538,65.4073,85.2179,"APS"
"84","Rio de Janeiro",33,"60 anos e mais",4,51.842,4.1359,43.7358,59.9482,"APS"
"85","Rondônia",11,"de 0 a 14 anos",1,50.8139,4.987,41.0397,60.5882,"APS"
"86","Rondônia",11,"de 15 a 29 anos",2,65.196,5.0698,55.2594,75.1325,"APS"
"87","Rondônia",11,"de 30 a 59 anos",3,79.208,3.4996,72.349,86.067,"APS"
"88","Rondônia",11,"60 anos e mais",4,40.5376,3.9427,32.81,48.2652,"APS"
"89","Roraima",14,"de 0 a 14 anos",1,68.269,3.6868,61.043,75.495,"APS"
"90","Roraima",14,"de 15 a 29 anos",2,73.7855,5.2677,63.461,84.1099,"APS"
"91","Roraima",14,"de 30 a 59 anos",3,79.3787,4.6066,70.3499,88.4075,"APS"
"92","Roraima",14,"60 anos e mais",4,39.1543,2.5258,34.2038,44.1049,"APS"
